step,lambda,threshold,fairness_violation,metric
0,0.0,0.5,-0.013366325446862337,eop
1,0.0,0.5,-0.013366325446862337,eop
2,0.0,0.5,-0.013366325446862337,eop
3,0.0,0.5,-0.013366325446862337,eop
4,0.0,0.5,-0.013366325446862337,eop
5,0.0,0.5,-0.013366325446862337,eop
6,0.0,0.5,-0.013366325446862337,eop
7,0.0,0.5,-0.013366325446862337,eop
8,0.0,0.5,-0.013366325446862337,eop
9,0.0,0.5,-0.013366325446862337,eop
10,0.0,0.5,-0.013366325446862337,eop
11,0.0,0.5,-0.013366325446862337,eop
12,0.0,0.5,-0.013366325446862337,eop
13,0.0,0.5,-0.013366325446862337,eop
14,0.0,0.5,-0.013366325446862337,eop
15,0.0,0.5,-0.013366325446862337,eop
16,0.0,0.5,-0.013366325446862337,eop
17,0.0,0.5,-0.013366325446862337,eop
18,0.0,0.5,-0.013366325446862337,eop
19,0.0,0.5,-0.013366325446862337,eop
20,0.0,0.5,-0.013366325446862337,eop
21,0.0,0.5,-0.013366325446862337,eop
22,0.0,0.5,-0.013366325446862337,eop
23,0.0,0.5,-0.013366325446862337,eop
24,0.0,0.5,-0.013366325446862337,eop
25,0.0,0.5,-0.013366325446862337,eop
26,0.0,0.5,-0.013366325446862337,eop
27,0.0,0.5,-0.013366325446862337,eop
28,0.0,0.5,-0.013366325446862337,eop
29,0.0,0.5,-0.013366325446862337,eop
