feature,priv_mean_abs_shap,unpriv_mean_abs_shap,difference
loan_amnt,1.3449881883226835,1.075361958248174,0.2696262300745096
installment,1.2097311683412881,0.9953052798725096,0.21442588846877852
term,0.31264376518888454,0.26646387909879843,0.04617988609008611
annual_inc,0.23286073827599577,0.20580556477143958,0.02705517350455619
int_rate,0.5199349339532956,0.5001685862019366,0.019766347751358992
income_group_low,0.16916017769744085,0.18325685917222578,-0.014096681474784933
dti,0.09208468429980005,0.10548153821750336,-0.013396853917703316
home_ownership_MORTGAGE,0.22722793933886545,0.21688326709452407,0.01034467224434138
home_ownership_RENT,0.08631655983664976,0.09220105765591949,-0.005884497819269724
purpose_other,0.014242567567409596,0.01724061102413953,-0.002998043456729934
home_ownership_OWN,0.026033666181492558,0.028799342777475537,-0.00276567659598298
verification_status_Verified,0.03149973658770545,0.030569733958094588,0.0009300026296108592
purpose_home_improvement,0.005867828593816963,0.005106818720351971,0.0007610098734649922
emp_length,0.15347766150930378,0.1529853658177509,0.0004922956915528742
purpose_credit_card,0.08929428816140267,0.08956589631164875,-0.000271608150246086
purpose_debt_consolidation,0.08578434318831342,0.08604245196915329,-0.0002581087808398719
purpose_small_business,9.25967214647243e-05,0.00031620438398732837,-0.00022360766252260407
purpose_house,0.0004251849527934215,0.00026395566968908594,0.00016122928310433559
verification_status_Source_Verified,0.00997181067046801,0.009850633583292663,0.00012117708717534689
purpose_major_purchase,0.001009741582016558,0.0010951025408624192,-8.536095884586125e-05
purpose_medical,0.0005191475769391688,0.0005933969515823971,-7.42493746432283e-05
purpose_moving,2.1623105521429867e-05,8.860772588672891e-05,-6.698462036529904e-05
purpose_wedding,0.0,2.7403904444750205e-05,-2.7403904444750205e-05
purpose_vacation,0.0007794786049963911,0.0007891961960181382,-9.717591021747075e-06
home_ownership_NONE,0.0,0.0,0.0
home_ownership_OTHER,0.0,0.0,0.0
purpose_educational,0.0,0.0,0.0
purpose_renewable_energy,0.0,0.0,0.0
