model,accuracy,roc_auc,dp_age_group,seed
BaselineLR,0.76,0.9285714285714286,-0.125,0
StaticFairLR,0.76,0.9285714285714286,-0.125,0
AdaptiveFairLR,0.8,0.9285714285714286,-0.16666666666666663,0
BaselineLR,0.8,0.8571428571428571,0.10606060606060608,1
StaticFairLR,0.8,0.8492063492063492,0.10606060606060608,1
AdaptiveFairLR,0.8,0.8571428571428571,0.10606060606060608,1
BaselineLR,0.68,0.7222222222222222,-0.030303030303030276,2
StaticFairLR,0.68,0.7301587301587302,-0.030303030303030276,2
AdaptiveFairLR,0.68,0.7222222222222222,-0.030303030303030276,2
BaselineLR,0.68,0.7063492063492064,0.5087719298245614,3
StaticFairLR,0.72,0.6904761904761906,0.3421052631578947,3
AdaptiveFairLR,0.72,0.7063492063492064,0.3421052631578947,3
BaselineLR,0.8,0.8333333333333334,0.19696969696969702,4
StaticFairLR,0.8,0.8174603174603176,0.19696969696969702,4
AdaptiveFairLR,0.8,0.8333333333333334,0.19696969696969702,4
